level_1,level_2,level_3,level_4,level_5,radius_mm
deformable,record_330_fat_empty_10,sample_0005,,,23.1
deformable,record_330_fat_empty_10,sample_0006,,,25.3
deformable,record_330_fat_empty_10,sample_0007,,,24.0
deformable,record_330_fat_empty_10,sample_0008,,,26.7
deformable,record_330_fat_empty_10,sample_0009,,,25.7
deformable,record_330_fat_empty_10,sample_0010,,,27.2
deformable,record_330_fat_empty_10,sample_0011,,,25.6
deformable,record_330_fat_empty_10,sample_0012,,,26.2
deformable,record_330_fat_empty_10,sample_0013,,,27.2
deformable,record_330_fat_empty_10,sample_0014,,,25.0
deformable,record_330_fat_empty_10,sample_0015,,,24.8
deformable,record_330_fat_empty_10,sample_0016,,,25.2
deformable,record_330_fat_empty_10,sample_0017,,,24.9
deformable,record_330_fat_empty_10,sample_0018,,,24.2
deformable,record_330_fat_empty_10,sample_0019,,,22.8
deformable,record_330_fat_empty_10,sample_0020,,,23.4
deformable,record_330_fat_empty_10,sample_0021,,,21.8
deformable,record_330_fat_empty_10,sample_0022,,,23.2
deformable,record_330_fat_empty_10,sample_0023,,,24.2
deformable,record_330_fat_empty_10,sample_0024,,,25.7
deformable,record_330_fat_empty_10,sample_0025,,,23.8
deformable,record_330_fat_empty_10,sample_0026,,,23.2
deformable,record_330_fat_empty_10,sample_0027,,,25.0
deformable,record_330_fat_empty_10,sample_0028,,,23.8
deformable,record_330_fat_empty_10,sample_0029,,,23.0
deformable,record_330_fat_empty_10,sample_0030,,,25.2
deformable,record_330_fat_empty_10,sample_0031,,,23.4
deformable,record_330_fat_empty_10,sample_0032,,,24.9
deformable,record_330_fat_empty_10,sample_0033,,,24.5
deformable,record_330_fat_empty_11,sample_0000,,,25.7
deformable,record_330_fat_empty_11,sample_0001,,,23.1
deformable,record_330_fat_empty_11,sample_0002,,,22.5
deformable,record_330_fat_empty_11,sample_0003,,,23.2
deformable,record_330_fat_empty_11,sample_0004,,,26.6
deformable,record_330_fat_empty_11,sample_0005,,,22.6
deformable,record_330_fat_empty_11,sample_0006,,,25.5
deformable,record_330_fat_empty_11,sample_0007,,,22.2
deformable,record_330_fat_empty_11,sample_0008,,,23.6
deformable,record_330_fat_empty_11,sample_0009,,,24.1
deformable,record_330_fat_empty_11,sample_0010,,,24.1
deformable,record_330_fat_empty_11,sample_0011,,,25.8
deformable,record_330_fat_empty_11,sample_0012,,,25.6
deformable,record_330_fat_empty_11,sample_0013,,,24.3
deformable,record_330_fat_empty_11,sample_0014,,,23.7
deformable,record_330_fat_empty_11,sample_0015,,,23.9
deformable,record_330_fat_empty_11,sample_0016,,,23.9
deformable,record_330_fat_empty_11,sample_0017,,,26.2
deformable,record_330_fat_empty_11,sample_0018,,,23.7
deformable,record_330_fat_empty_11,sample_0019,,,25.7
deformable,record_330_fat_empty_11,sample_0020,,,25.8
deformable,record_330_fat_empty_11,sample_0021,,,25.1
